price,experience,missions,competences,supermalter,Ville,Region_Name
600,15 ans et +,164,"['Système de noms de domaine (DNS)', 'Délivrabilité', 'DMARC', 'SPF', 'Emailing', 'Newsletters', 'DKIM', 'Nom de domaine', 'DNSSEC', 'SSL', 'MX', 'BIMI', 'Spam', 'OVH', 'Google Workspace', 'Microsoft 365', 'Office 365', 'Sendinblue', 'Brevo', 'MailInblack', 'Certificats SSL', 'Gandi', 'LaGrowthMachine', 'Hubspot', 'Messagerie', 'Cold Emailing', 'Gestion des emails', 'email', 'sendgrid', 'Audit', 'Mailchimp', 'Mailjet', 'Audit de sécurité', 'Shopify', 'WordPress', 'SEO', 'Mailpro', 'Cegid', 'Mandrill', 'Klaviyo', 'ActiveCampaign', 'Postfix', 'Outbound Marketing', 'Génération de leads', 'calendly', 'Email deliverability', 'Postmaster tools', 'mailerlite', 'Mailer Daemon']",1,Paris,île-de-france
300,3-7 ans,175,"['Adobe Illustrator', 'Illustration vectorielle', 'illustration corporate', 'pictogramme', 'illustration scientifique', 'illustration publicitaire', 'scolaire', 'Motion design', 'Illustration', 'Bande dessinée', 'illustration jeunesse', 'Graphisme', 'Créatif', 'Communication', 'Communication print', 'Identité visuelle', 'Dessin', 'Design logo', 'Charte graphique', 'Graphisme print', 'Direction artistique', 'Adobe Photoshop', 'Affiche', 'Mise en page', 'Publicité', 'Presse Magazine']",1,Paris,île-de-france
400,8-15 ans,177,"['Motion design', 'Adobe After Effects', 'Animation 2D', 'Animation', 'Digitalisation', 'Illustration', 'Adobe Illustrator', 'E-learning', 'Webdesign', 'Direction artistique', '3D', 'Animation 3D', 'Carte de voeux', 'Graphisme', 'vfx', 'Montage son', 'VR', 'Adobe Flash', 'Adobe Photoshop', 'digital painting', 'Responsive design', 'Design', 'Impression 3D', 'Charte graphique', 'Identité visuelle', 'Spine', 'habillage vidéo', 'Adobe Animate']",1,Paris,île-de-france
350,8-15 ans,150,"['Graphisme', 'Edition', 'Illustration', 'Mise en page', 'Webdesign', 'Design logo', 'Plaquette', 'Adobe Illustrator', 'Adobe Photoshop', 'Adobe InDesign', 'Charte graphique', 'Identité visuelle', 'Branding', 'Carte de visite', 'Dessin', 'Graphisme print', 'Direction artistique', 'Flyer', 'Affiche', 'Packaging', 'User Interface Design', 'Adobe XD']",1,Paris,île-de-france
220,8-15 ans,599,"['Traduction Français Anglais', 'Traducteur français anglais', 'Anglais', 'Traduction', 'Natif', 'Traduction marketing', 'Traduction juridique', 'Traduction Anglais Français', 'Marketing', 'copywriting', 'Rédaction web', 'Rédaction SEO', 'rédaction anglais', 'Blog', 'Stratégie de communication', 'community management', 'Marketing de contenu', 'Rédaction', 'Réseaux sociaux', 'Communication digitale', 'Conception rédaction', 'Communication', 'transcription', 'français', 'Interprète', 'traduction pharmaceutique', 'Traduction médicale']",1,Paris,île-de-france
440,8-15 ans,172,"[""Film d'entreprise"", 'Réalisation vidéo', 'Tournage', 'Vidéo', 'films institutionnels', 'Publicité', 'interview', 'Montage vidéo', 'pub web', 'Reportage', 'Storytelling', 'cadreur', 'Photographie', 'clip', 'Post production', 'cadrage', 'Audiovisuel', 'captation', 'chef opérateur', 'documentaire', 'JRI', 'Cinéma']",1,Paris,île-de-france
200,8-15 ans,91,"['Audit SEO', 'SEO', 'Recherche de mots clés', 'Netlinking SEO', 'SEMrush', 'Google Search Console', 'Screaming Frog', 'Majestic SEO', 'Ahrefs', 'SEO Moz', 'cocon sémantique', 'SEO local', 'Seo Sémantique', 'Audit sémantique', 'Oncrawl', 'Ubersuggest', 'Ahref', 'Majestic', 'Backlink', 'Yourtextguru', 'Réferencement organique', 'Mots-clés seo', '1.fr', 'Analyse sémantique', 'Seo on-site', 'Search Engine Optimization (SEO)', 'SEO on-page', 'Yoast SEO', 'crawl', 'Liens sponsoriés', 'Google Analytics', 'Webmarketing', 'Rédaction SEO', 'Stratégie webmarketing', 'Google AdWords', 'Inbound marketing', 'Optimisation pour les moteurs de recherche (SEO)', 'mots-clés', 'Copywriting', 'Landing page', 'fiches produits', 'Blog', 'Articles de blog', 'Référencement naturel', 'Référencement SEO', 'Référencement web', 'Référencement local', 'SEA']",0,Paris,île-de-france
350,3-7 ans,1 019,"['Flyer', 'Affiche', 'Graphisme', 'Design logo', 'Charte graphique', 'création brochure', 'Direction artistique', 'Adobe Illustrator', 'Webdesign', 'Carte de visite', 'Adobe Photoshop', 'Adobe InDesign', 'brand', 'Design', 'Anglais', 'logo entreprise', 'Catalogue', 'logo mpe', 'rouen', 'normandie', 'Graphisme print', 'graphiste web', 'Infographie', 'Edition', 'Packaging', 'Design Bannières', 'Communication', 'Communication print', 'Marketing', 'Microsoft Powerpoint', 'Microsoft Excel', 'Identité visuelle', 'banner', 'plaquette', 'google slide', 'Bannière web', 'Urgences', 'Deadline serrée', 'Conseil', 'Communication visuelle', 'Conseil Print', 'Print', 'Communication digitale', 'Marketing de contenu', 'Marketing direct', 'Impression 3D', 'Webmarketing', 'Posts réseaux sociaux', 'Brochure', 'Kakémono']",1,Rouen,normandie
300,8-15 ans,114,"['Retouche photo', 'Photomanipulation', 'Retouche créative', 'Graphisme', 'Adobe Photoshop', 'Digital Art', 'Mise en page', 'Print & Web', 'Adobe InDesign', 'Adobe Illustrator', 'Illustration', 'Direction artistique', 'Identité visuelle', 'Graphisme print', 'Webdesign', 'Design logo', 'Flyer', 'Carte de visite', 'Affiche', 'Edition', 'Adobe Creative Suite', 'Adobe Premiere']",1,Paris,île-de-france
300,8-15 ans,102,"['Sound designer', 'monteur son', 'Podcast', 'Mixage son', 'identité sonore', 'sound mixer', 'Mixeur', 'illustration sonore', 'Montage son', 'production audio', 'musique', 'Sound design', 'ingénieur du son', 'compositeur', 'composition sonore', 'ingénieur de post production', 'Post production', 'bruitage', 'binaural', 'réalisateur sonore', 'prise de son', 'sound editing', 'reaper', 'Avid Pro Tools', 'max', 'msp', 'designer sonore', 'son 3D', 'sonic branding', 'sound identity', 'Mixing', 'mixage audio', 'Jingle', 'bruiteur', 'foley artist', 'spot radio', 'Post Production Audio', 'Enregistrement audio', 'sound synthesis', 'synthèse sonore', 'Habillage sonore', 'Son', 'Sound', 'Adobe Audition', 'Podcasting', 'podcasts', 'audio streaming', 'loudness', 'sound artist', 'sound engineering']",0,Paris,île-de-france
280,8-15 ans,278,"['Traduction Français Anglais', 'Anglais', 'Traduction', 'traduction littéraire', 'bilingue', 'natif', 'Relecture', 'Correction', 'Marketing', 'Français', 'Traducteur générale', 'Traduction touristique', 'Traduction générale', 'English', 'Translator', 'Proofreading/Editing', 'Translation French-English', 'Publishing', 'Communication', 'Bilingual', 'Native english']",1,Paris,île-de-france
320,15 ans et +,86,"['Graphisme', 'Branding', 'Infographie', 'Design logo', 'Graphisme print', 'Webdesign', 'Identité visuelle', 'Illustration', 'Direction artistique', 'Mise en page', 'Webmarketing', 'Photographie', 'Retouche photo', 'Adobe Photoshop', 'Adobe Illustrator', 'Adobe InDesign', 'Wordpress', 'Stratégie de communication', 'Communication digitale', 'Stratégie de positionnement', 'Stratégie webmarketing', 'Stratégie éditoriale']",1,Paris,île-de-france
490,15 ans et +,111,"['Google AdWords', 'google search', 'Google Ads', 'Google Shopping', 'Tracking', 'Google Tag Manager', 'Audit SEO', 'SEA', 'Facebook Marketing', 'SEM', 'Webmarketing', 'Amazon Ads', 'Amazon Marketplace', 'Marketplace', 'Facebook Ads']",1,Paris,île-de-france
400,3-7 ans,175,"['Direction artistique', 'Graphisme print', 'Webdesign', 'Design logo', 'Charte graphique', 'Plaquette', 'Graphisme', 'Identité visuelle', 'Mise en page', 'site internet', 'Flyer', 'Graphiste Logo', 'Carte de visite', 'Catalogue', 'Infographie', 'papier-en-tête', 'Adobe InDesign', 'Adobe Photoshop', 'Adobe Illustrator', 'Microsoft Powerpoint', 'Microsoft Word', 'Site vitrine']",1,Paris,île-de-france
500,3-7 ans,121,"['Retouche photo', 'Adobe Photoshop', 'Retouche beauté', 'capture one', 'Packshot', 'Formation Photoshop', 'Montage photo', 'Adobe Lightroom', 'détourage', 'Mode', 'edito', 'nature morte', 'Portrait', 'Reportage', 'Adobe Creative Suite', 'lookbook', 'Publicité', 'Luxe', 'Presse Magazine', 'Magazine', 'GIF', 'Catalogue', 'Brand content']",1,Paris,île-de-france
450,8-15 ans,74,"['Infographie', 'Réseaux sociaux', 'Data design', 'Data visualisation', 'Social Media', 'Graphisme', 'Print', 'Design', 'Identité visuelle', 'Webdesign', 'Charte graphique', 'Graphisme print', 'Direction artistique', 'Branding', 'Edition', 'Mise en page', 'Pictogrammes', 'Adobe Photoshop', 'Adobe Illustrator', 'Adobe InDesign', 'Power Point', 'Google Slides']",1,Paris,île-de-france
300,8-15 ans,106,"['Sound design', 'Composition Musicale', 'Jeux vidéos', 'Reaper', 'Logic Pro', 'Wwise', 'Fmod Studio', 'Avid Pro Tools', 'Montage son', 'Mixage', 'intégration sonore', 'Post production', 'Piano', 'compositeur', 'habillage sonore', 'composition', ""Musique à l'image"", 'identité sonore', 'Illustration sonore', 'Enregistrement']",0,Paris,île-de-france
500,8-15 ans,106,"['Création de logo', 'Graphisme site internet', 'Graphisme newsletter', 'Visuels réseaux sociaux', 'Webdesign', 'Branding', 'Emailing', 'Facebook', 'Instagram', 'Affiche', 'Adobe Photoshop', 'Adobe Illustrator', 'Adobe InDesign', 'Packaging', 'Graphisme print', 'Email marketing', 'Design Email', 'Charte graphique', 'Carte de visite', 'Catalogue', 'Marketing', 'Plaquette', 'Direction artistique', 'Communication visuelle', 'Communication print', 'Publicité', 'Graphisme 3D', 'PAO', 'Cinéma', 'Objets publicitaires', 'Evénementiel', 'Infographie', 'Site vitrine', 'Adobe Creative Suite', 'Identité visuelle', 'Retouche photo', 'Montage photo', 'Magazine', 'Mise en page', 'Design Bannières', 'Créatif', 'Conseil', 'Conception', 'Photographie', 'Responsive design', 'User Interface Design', 'User Experience Design', 'Design produit', 'Mobile Design', 'Audiovisuel']",1,Paris,île-de-france
160,3-7 ans,166,"['Traduction', 'Traduction Français Italien', 'Traduction Anglais Italien', 'secrétariat à domicile', 'Relecture', 'Traduction Français Allemand', 'Correction', 'Traduction Italien Français', 'Italien', 'Proofreading', 'Traducteur générale', 'Traducteur traduction français anglais']",1,Nanteuil-lès-Meaux,
500,8-15 ans,157,"['Graphisme', 'Design logo', 'Identité visuelle', 'Charte graphique', 'Packaging', 'Motion design', 'Branding', 'Illustration', 'print', 'Adobe Photoshop', 'Adobe Illustrator', 'Photographie', 'Webdesign', 'Graphisme print', 'Direction artistique', 'Mise en page', 'Adobe Lightroom', 'Adobe After Effects', 'Edition', 'Figma', 'Consultant digital', 'Réseaux sociaux', 'consultant design', 'consultant', 'Stratégie de marque', 'stratégie', 'Stratégie marketing']",1,Paris,île-de-france
430,3-7 ans,78,"['Direction artistique', 'Webdesign', 'Illustration', 'Design logo', 'User Interface Design', 'Graphisme', 'Design Bannières', 'Design Newsletter', 'Charte graphique', 'Design Email', 'Identité visuelle', 'Adobe Creative Suite', 'Flyer', 'Affiche', 'Publicité', 'Design produit', 'Retouche photo', 'Adobe Photoshop', 'Adobe Illustrator', 'Adobe InDesign', 'Graphisme print', 'Mise en page']",0,Paris,île-de-france
380,3-7 ans,109,"['Illustration', 'Direction artistique', 'Graphisme', 'Webdesign', 'Charte graphique', 'Graphisme print', 'Design logo', 'Formation', 'Adobe Illustrator', 'Identité visuelle', 'Adobe Photoshop', 'Adobe InDesign', 'Flyer', 'Affiche', 'Mise en page', 'Edition', 'User Interface Design', 'Carte de visite', 'User Experience Design', 'Plaquette', 'Retouche photo', 'Figma']",1,Paris,île-de-france
350,8-15 ans,66,"['Expert Webflow', 'Webdesign', 'Intégration Webflow', 'webflow', 'User Interface Design', 'Gestion de projet', 'No code', 'Intégration web', 'Transformation digitale', 'Identité visuelle', 'figma', 'Adobe Photoshop', 'Shopify', 'Zapier', 'Integromat', 'Phantombuster', 'Membersack', 'Airtable', 'Créatif', 'Site vitrine', 'Landing page', 'Intégration Responsive', 'Design produit', 'Maintenance', 'Formation', 'Mentoring', 'Audit SEO', 'Référencement SEO']",1,Paris,île-de-france
125,8-15 ans,415,"['Traduction', 'Traduction Français Anglais', 'Traduction Français Espagnol', 'Traduction Français Italien', 'Traduction Italien Français', 'Sous-titrage', 'Traduction Espagnol Français', 'Espagnol', 'Relecture', 'Correction', 'Français', 'Anglais', 'Interprète', 'freelance', 'Blog', 'Traduction médicale', 'adaptation', 'Localisation', 'translator', 'transcription', ""Rédaction d'articles"", 'Rédaction de contenu']",0,Paris,île-de-france
340,15 ans et +,272,"['Motion design', '3D', 'Branding', 'Illustration', 'Animation', 'Illustration 3D', 'Montage vidéo', 'Graphisme', 'effets speciaux', 'Story Board', 'Retouche photo', 'incrustations', 'retouche vidéo', 'illustration d applications', 'integration photo', 'voix off multilingue', 'Sound design', 'Adobe After Effects', 'Réalisation vidéo', 'Animation 3D', 'Graphisme 3D', 'Adobe Premiere']",1,Paris,île-de-france
350,8-15 ans,136,"['Webdesign', 'Wordpress', 'CSS', 'Shopify', 'Identité visuelle', 'UI/UX', 'maquettiste créa', 'Adobe Photoshop', 'Adobe XD', 'Figma', 'Presse Magazine', 'HTML', 'Intégration web', 'Prestashop', 'Instapage', 'Webflow', 'Adobe InDesign', 'Mise en page', 'flyer-affiche-logo-brochure-plaquette...', 'Adobe Illustrator', 'Graphisme', 'Charte graphique', 'Graphisme print', 'User Experience Design', 'User Interface Design', 'Microsoft Powerpoint', 'Adobe Premiere', 'Elementor']",1,Paris,île-de-france
400,8-15 ans,102,"['Photo corporate', ""Photo d'entreprise"", 'photo produit', 'Photo et video aérienne', 'Portrait', ""Photo d'architecture"", ""Photo d'immobilier commercial"", 'Site wordpress', 'E-commerce', 'Retouche photo', 'Photographie', 'Packshot', 'Adobe Lightroom', 'Adobe Photoshop', 'Commercial', 'Montage photo', 'Formation Photoshop', 'Vidéo', 'Drone', 'Wordpress', 'studio photo', 'Adobe InDesign', 'Wix', 'site e-commerce', 'Photo restaurant', 'Photos grands espaces', 'Photo hôtellerie', 'Photo boutique', 'Photo publicitaire', 'Photographe portrait', 'Photo immobilier', 'Photo industriel', 'photographe', 'Photographe corporate', 'Photographe industriel', 'Photo en studio', 'Photo chantier', 'Photo BTP', 'Photo suivi de chantier', 'Word Press', 'SEO', 'Télépilote de drone', ""photo d'interieur"", 'Développement de site Word Press']",1,Paris,île-de-france
350,8-15 ans,250,"['User Interface Design', 'Webdesign', 'Wordpress', 'webflow', 'Graphisme', 'Figma', 'HTML5', 'Design logo', 'CSS3', 'Intégration web', 'Adobe Photoshop', 'Charte graphique', 'Mise en page', 'Expert Webflow', 'WooCommerce', 'PAO', 'Sketch', 'Illustration', 'UI', 'Tailwind', 'Bootstrap', 'SASS', 'Prestashop', 'craft', 'Adobe Illustrator', 'Zeplin', 'Microsoft Powerpoint', 'Adobe InDesign', 'GitHub', 'Ruby on Rails', 'JavaScript', 'TailwindCSS', 'UI Web Design', 'UI/UX']",1,Paris,île-de-france
125,8-15 ans,176,"['Traduction Français Anglais', 'Traduction Français Espagnol', 'Traduction', 'traducteur français-anglais', 'Traducteur francais-espagnol', 'Traducteur Espagnol', 'Anglais', 'Espagnol', 'sutitrage', 'Relecture', 'Relecture correction', 'Traductrice français espagnol']",1,Paris,île-de-france
460,8-15 ans,51,"['Photographe portrait', 'Photographe reportage', ""Photographie d'entreprise"", 'Photographie culinaire', 'Photographe packshot', 'Photographe e-commerce', 'Photographe studio', 'Portrait', 'Photographe corporate', 'Reportage', 'Evénementiel', 'Retouche photo', 'Business Photography', 'institutionnel', 'e-commerce', 'Adobe Photoshop', 'Photographie', ""avocats d'affaire"", 'trobinoscope', 'studio nomade', 'Photocall', ""Cabinets d'avocat"", 'cabinets de conseil', 'family office', 'gestionnaire de patrimoine', ""Société d'assurance"", ""Salon de l'Agriculture"", 'grandes écoles', 'Restaurants', 'Adobe Lightroom', 'capture one', 'reportage événementiel', 'Paris', 'Montrouge', 'reportage entreprise', 'reportage photo', 'Post production', 'studio', 'studio mobile', ""Rapport d'activité"", 'Santé']",1,Paris,île-de-france
400,8-15 ans,98,"['PHP', 'Symfony 4', 'Symfony 3', 'API', 'Développement Back-End', 'Prestashop', 'Wordpress', 'Développement web', 'MySQL', 'HTML5', 'jQuery', 'Git', 'GitHub', 'Méthode agile', 'SQL', 'HTML', 'Vue.js', 'Symfony 5']",0,Paris,île-de-france
300,8-15 ans,727,"['Montage vidéo', 'Post production', 'Audiovisuel', 'Adobe Premiere', 'Adobe After Effects', 'Monteur vidéo', 'Motion design', 'Final cut pro X', 'final cut pro', 'Cinéma', 'Adobe Photoshop', 'monteuse vidéo', 'Infographie', 'Graphisme', 'Vidéo', 'clip vidéo', 'editing', 'Video Editing', ""Film d'entreprise"", 'Reportage', 'Photographie', 'Réalisation vidéo', 'Retouche photo']",1,Paris,île-de-france
550,8-15 ans,122,"['Wordpress', 'Développement web', 'jQuery', 'ACF', 'Animation Web', 'API', 'CMS', 'Développement Front-End', 'CRM', 'Growth hacking', 'Fullstack', 'Plugin Wordpress', 'ActiveCampaign', 'Google Chrome Extension', 'CSS3', 'HTML5', 'PHP', 'SQL', 'Isotope', 'Masonry', 'JavaScript', 'SVG', 'Développement Back-End', 'Intégration web', 'Gestion de projet web', 'Webmastering', 'Spécifications techniques', 'Recette fonctionnelle', 'Recette technique', 'Cahier des charges']",0,Paris,île-de-france
375,3-7 ans,109,"['Graphisme print', 'Graphisme', 'Direction artistique', 'Charte graphique', 'Plaquette', ""Rapport d'activité"", 'Adobe InDesign', 'Design logo', 'Illustration', 'Adobe Illustrator', 'Identité visuelle', 'Flyer', 'Affiche', 'Mise en page', 'Edition', 'Packaging', 'Adobe Photoshop', 'Branding', 'Adobe Creative Suite', 'Carte de visite', 'Réseaux sociaux']",1,Paris,île-de-france
450,8-15 ans,147,"['Wordpress', 'Intégration web', 'Formation Wordpress', 'CSS3', 'HTML5', 'Intégration Responsive', 'Développement Front-End', 'Site vitrine', 'E-commerce', 'PHP', 'CSS', 'HTML', 'Responsive design', 'Développement web', 'CMS', 'Elementor Pro', 'Elementor']",1,Paris,île-de-france
150,3-7 ans,45,"['Traduction Français Anglais', 'Traduction', 'Traduction Français Allemand', 'Allemand', 'Traduction Allemand Français', 'Anglais', 'Traduction Anglais Français', 'Français', 'Relecture', 'Rédaction SEO', 'Correction', 'Traduction Allemand Anglais', 'SEO', 'Rédaction web', 'Traduction technique', 'Traduction Français Italien', 'Relecture correction', 'Traduction Anglais Allemand', 'Italien', 'Rédaction', 'site web', 'Natif', 'Blog', 'Sous-titres', 'Mots-clés seo', 'Traduction médicale', 'Sous-titrage', 'Localisation', 'Correction de texte', 'refonte site web', 'Marketing', 'Amazon', 'fiches produits', 'Traducteur', 'Traduction marketing', 'Rédaction fiches produit', 'Traduction site web', 'Services linguistiques', 'Traducteur technique', 'Traducteur allemand', 'Web writing', 'UX Writing', 'Traduction générale', 'site internet', 'Editorial', 'Bilingue français allemand', 'anglais us', 'Espagnol', 'Proofreading/Editing', 'Copywriting']",1,Paris,île-de-france
250,8-15 ans,74,"['Illustration', 'Dessin', 'Mode', 'fiche technique', 'styliste', 'Illustrator', 'Adobe Illustrator', 'dessinatrice', 'stylisme', 'Croquis', 'Dessinateur', 'Adobe Photoshop', 'Adobe InDesign', 'Drawing', 'digital painting', 'aquarelle', 'Affiche', 'couverture', 'motif', 'motifs', 'Création de motifs', 'Illustration numérique', 'Illustration digitale', 'procreate', 'illustration jeunesse', 'Illustration traditionnelle', 'Illustration vectorielle', 'dessin vectoriel', 'dessin traditionnel', 'acrylique', 'Fashion Design', 'Création de collection', 'plan de collection', 'Prêt-à-porter']",0,Paris,île-de-france
720,8-15 ans,110,"['PHP', 'MySQL', 'Symfony 5', 'Développement Back-End', 'C#', 'Wordpress', 'Stripe Connect', 'Bootstrap', 'JavaScript', 'Ajax', 'Symfony 4', 'HTML5', 'Développement web', 'jQuery', 'CSS3', 'Développement Front-End', 'Hipay', 'Symfony', 'Delphi', 'Bootstrap 3', 'PHP 7', 'Création de site internet', 'Création de site web', 'Sports', 'Création de site WordPress']",0,Antony,île-de-france
300,8-15 ans,96,"['Création site internet', 'Wordpress', 'Elementor', 'Webdesign', 'Gestion de projet', 'Développement web', 'Audit de sécurité', 'Audit SEO', 'HTML5', 'Création de site internet', 'CSS3', 'PHP', 'JavaScript', 'jQuery', 'Audit UX', 'RGPD', 'SEO', 'Développement Mobile', 'Réseaux sociaux', 'Création de site web', 'SEA', 'twig', 'Webmarketing', 'Graphisme', 'Mise en page', 'SASS', 'User Experience Design', 'User Interface Design', 'site e-commerce', 'Site vitrine', 'site web']",1,Paris,île-de-france
180,3-7 ans,240,"['Rédaction web', 'Rédaction SEO', 'Correction', 'Conception rédaction', 'Copywritting', 'Rédaction', 'SEA', 'Traduction Français Anglais', 'Google AdWords', 'Google Analytics', 'Bing Ads', 'Blog', 'Relecture', 'Conception', 'contenu', 'Marketing de contenu', 'SEO', 'Communication', 'Référencement sémantique', 'orthographe', 'Réseaux sociaux', 'Traduction', 'Journalisme', 'SEMrush', 'Audit SEO', 'Audit', 'bio', 'écologie', 'biologique']",1,Paris,île-de-france
